GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jedis,redis.clients.jedis.params,Params,94,0,12,0,20,0,12,0,6,0
Jedis,redis.clients.jedis.exceptions,JedisNoScriptException,13,0,0,0,3,0,3,0,3,0
Jedis,redis.clients.jedis.exceptions,JedisException,4,9,0,0,2,4,1,2,1,2
Jedis,redis.clients.jedis.exceptions,JedisClusterMaxRedirectionsException,13,0,0,0,6,0,3,0,3,0
Jedis,redis.clients.jedis.exceptions,JedisConnectionException,4,9,0,0,2,4,1,2,1,2
Jedis,redis.clients.jedis.exceptions,JedisAskDataException,19,0,0,0,6,0,3,0,3,0
Jedis,redis.clients.jedis.exceptions,JedisNoReachableClusterNodeException,13,0,0,0,6,0,3,0,3,0
Jedis,redis.clients.jedis.exceptions,JedisBusyException,9,4,0,0,4,2,2,1,2,1
Jedis,redis.clients.jedis.exceptions,InvalidURIException,9,4,0,0,4,2,2,1,2,1
Jedis,redis.clients.jedis.exceptions,JedisClusterException,13,0,0,0,6,0,3,0,3,0
Jedis,redis.clients.jedis.exceptions,JedisDataException,9,4,0,0,4,2,2,1,2,1
Jedis,redis.clients.jedis.exceptions,JedisMovedDataException,19,0,0,0,6,0,3,0,3,0
Jedis,redis.clients.jedis.exceptions,JedisClusterCrossSlotException,13,0,0,0,6,0,3,0,3,0
Jedis,redis.clients.jedis.exceptions,JedisRedirectionException,37,0,0,0,14,0,5,0,5,0
Jedis,redis.clients.jedis.params.geo,GeoRadiusParam,119,0,14,0,27,0,14,0,7,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},10,3,2,0,4,1,3,1,2,1
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},31,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},31,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},23,0,0,0,3,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},23,0,0,0,3,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,Queable,48,0,4,0,13,0,8,0,6,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},62,3,6,0,14,1,6,1,3,1
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},38,3,4,0,10,1,5,1,3,1
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},120,3,14,0,26,1,9,1,2,1
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},42,3,4,0,9,1,4,1,2,1
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},42,3,6,0,11,1,5,1,2,1
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},46,3,6,0,11,1,6,1,3,1
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},42,3,4,0,9,1,4,1,2,1
Jedis,redis.clients.jedis,JedisPoolConfig,0,15,0,0,0,6,0,1,0,1
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},12,3,2,0,5,1,3,1,2,1
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},25,3,2,0,7,1,3,1,2,1
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BuilderFactory.new Builder() {...},39,3,6,0,11,1,5,1,2,1
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},31,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},41,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},36,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedis.SetFromList,26,87,4,8,7,22,8,15,4,13
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},36,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},26,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},36,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,Pipeline.MultiResponseBuilder,97,0,6,0,22,0,7,0,4,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,JedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},16,0,0,0,2,0,2,0,2,0
Jedis,redis.clients.jedis,BinaryJedisCluster.new JedisClusterCommand() {...},21,0,0,0,2,0,2,0,2,0
